tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_AngleAdj,realValue_WU_MovAvg1,realValue_WU_Filt1,realValueFiltered,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,realValue,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE
25496,26789,26789,29612,-51939,81551,0,81515.57,81505.23,0,26789,27273,27273,71425,-1502,72927,72892.14,72884.56,3207.397,3207.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
27364,28853,28854,29608,-51939,81547,0,81521.86,81509.28,0,28854,29328,29328,71416,-1502,72918,72897.14,72887.53,3207.543,3207.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
29417,30907,30907,29613,-51939,81552,0,81528.86,81514.2,0,30907,31382,31382,71411,-1502,72913,72901.43,72891.3,3207.723,3208.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
31474,32767,32767,29592,-51939,81531,0,81532.86,81519.95,0,32767,33249,33250,71387,-1502,72889,72902.29,72895.27,3207.926,3208.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
33339,34632,34632,29596,-51939,81535,0,81537.43,81525.0,0,34632,35117,35117,71427,-1502,72929,72908.86,72898.02,3208.088,3208.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
35208,36500,36501,29600,-51939,81539,0,81542.57,81529.87,0,36501,36985,36985,71395,-1502,72897,72909.0,72902.26,3208.278,3208.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
37076,38369,38369,29609,-51939,81548,0,81543.29,81534.84,0,38369,38852,38852,71418,-1502,72920,72913.29,72904.9,3208.436,3208.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
38942,40235,40235,29624,-51939,81563,0,81545.0,81538.15,0,40235,40720,40720,71436,-1502,72938,72914.86,72908.19,3208.573,3208.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
40810,42103,42104,29618,-51939,81557,0,81546.43,81540.83,0,42104,42587,42587,71409,-1502,72911,72913.86,72910.8,3208.683,3208.5,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
42679,43972,43972,29627,-51939,81566,0,81548.43,81543.02,0,43972,44455,44455,71414,-1502,72916,72914.29,72911.99,3208.754,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
44545,45838,45838,29585,-51939,81524,0,81547.43,81545.14,0,45838,46323,46325,71407,-1502,72909,72917.14,72912.89,3208.816,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
46415,47904,47906,29602,-51939,81541,0,81548.29,81546.04,0,47906,48377,48377,71417,-1502,72919,72915.71,72914.55,3208.87,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
48467,49957,49957,29606,-51939,81545,0,81549.14,81546.92,0,49957,50431,50431,71414,-1502,72916,72918.43,72915.01,3208.898,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
50521,52011,52011,29625,-51939,81564,0,81551.43,81547.79,0,52011,52486,52486,71435,-1502,72937,72920.86,72916.34,3208.943,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
52576,53869,53869,29597,-51939,81536,0,81547.57,81549.21,0,53869,54353,54353,71427,-1502,72929,72919.57,72918.11,3209.01,3209.0,0,0,0,0,0,0,0,0,36.53,False,0,0,0,0,0,True
