tBeforeMeasure1,tAfterMeasure1,tAfterAlgo1,realValue_WU1,offset1,relativeVal_WU1,realValue_WU_MovAvg1,realValue_WU_Filt1,tBeforeMeasure2,tAfterMeasure2,tAfterAlgo2,realValue_WU2,offset2,relativeVal_WU2,realValue_WU_MovAvg2,realValue_WU_Filt2,tBeforeMeasure3,tAfterMeasure3,tAfterAlgo3,realValue_WU3,offset3,relativeVal_WU3,realValue_WU_MovAvg3,realValue_WU_Filt3,realValueFiltered,realValue,correctedValueFiltered,bSync,bHold,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT
127072,127372,127972,96658.5,96557,101.5,102.9375,101.0345,127372,127672,127972,32195.5,32106,89.5,103.8125,114.1228,127672,127972,127972,-56461.75,-56433,-28.75,-19.75,-16.00099,0,4.13145,0,False,False,3407.5,2.745971,3.00221,9.267969,1,True,True,False
128083,128383,128983,96701.25,96557,144.25,115.9375,101.5074,128383,128683,128983,32201.5,32106,95.5,101.125,111.5604,128683,128983,128983,-56450.75,-56433,-17.75,-24.75,-16.93271,0,4.068778,0,False,False,3408.0,2.746374,3.002651,9.269329,1,True,True,False
129092,129392,129992,96706.75,96557,149.75,132.3125,105.0936,129392,129692,129992,32220.75,32106,114.75,102.9375,108.967,129692,129992,129992,-56437.5,-56433,-4.5,-20.0,-18.87548,0,4.04907,0,False,False,3408.6,2.746857,3.00318,9.270961,1,True,True,False
130100,130400,131000,96650.75,96557,93.75,122.3125,111.8581,130400,130700,131000,32211.5,32106,105.5,101.3125,107.4685,130700,131000,131000,-56444.0,-56433,-11.0,-15.5,-19.15495,0,4.152515,0,False,False,3408.0,2.746374,3.002651,9.269329,1,True,True,False
131107,131407,132007,96715.0,96557,158.0,136.4375,114.4563,131407,131707,132007,32257.0,32106,151.0,116.6875,105.9386,131707,132007,132007,-56443.25,-56433,-10.25,-10.875,-18.24661,0,4.193519,0,False,False,3407.6,2.746051,3.002298,9.268241,1,True,True,False
132116,132416,133016,96694.0,96557,137.0,134.625,119.9191,132416,132716,133016,32196.25,32106,90.25,115.375,108.61,132716,133016,133016,-56447.75,-56433,-14.75,-10.125,-16.4146,0,4.400265,0,False,False,3407.8,2.746213,3.002475,9.268785,1,True,True,False
133124,133424,134024,96629.0,96557,72.0,115.1875,123.5739,133424,133724,134024,32229.5,32106,123.5,117.5625,110.2912,133724,134024,134024,-56439.75,-56433,-6.75,-10.6875,-14.85149,0,4.543386,0,False,False,3407.6,2.746051,3.002298,9.268241,1,True,True,False
134132,134432,135032,96709.0,96557,152.0,129.75,121.4897,134432,134732,135032,32197.5,32106,91.5,114.0625,112.0983,134732,135032,135032,-56461.25,-56433,-28.25,-15.0,-13.81665,0,4.559104,0,False,False,3408.1,2.746454,3.002739,9.269601,1,True,True,False
135141,135441,136041,96687.25,96557,130.25,122.8125,123.5425,135441,135741,136041,32229.25,32106,123.25,107.125,112.5865,135741,136041,136041,-56462.5,-56433,-29.5,-19.8125,-14.11074,0,4.605717,0,False,False,3408.3,2.746615,3.002915,9.270145,1,True,True,False
136149,136449,137049,96681.5,96557,124.5,119.6875,123.3611,136449,136749,137049,32227.75,32106,121.75,115.0,111.2292,136749,137049,137049,-56457.25,-56433,-24.25,-22.1875,-15.52775,0,4.544401,0,False,False,3408.0,2.746374,3.002651,9.269329,1,True,True,False
137157,137458,138058,96691.75,96557,134.75,135.375,122.4481,137458,137758,138058,32218.5,32106,112.5,112.25,112.1663,137758,138058,138058,-56438.25,-56433,-5.25,-21.8125,-17.18285,0,4.510567,0,False,False,3407.6,2.746051,3.002298,9.268241,1,True,True,False
138168,138468,139068,96669.25,96557,112.25,125.4375,125.6608,138468,138768,139068,32204.75,32106,98.75,114.0625,112.1871,138768,139068,139068,-56448.25,-56433,-15.25,-18.5625,-18.33343,0,4.553776,0,False,False,3408.1,2.746454,3.002739,9.269601,1,True,True,False
139179,139479,140079,96720.5,96557,163.5,133.75,125.6053,139479,139779,140079,32221.5,32106,115.5,112.125,112.6532,139779,140079,140079,-56460.5,-56433,-27.5,-18.0625,-18.39036,0,4.561112,0,False,False,3408.1,2.746454,3.002739,9.269601,1,True,True,False
140188,140488,141088,96670.0,96557,113.0,130.875,127.6294,140488,140788,141088,32227.25,32106,121.25,112.0,112.5219,140788,141088,141088,-56457.75,-56433,-24.75,-18.1875,-18.30888,0,4.60207,0,False,False,3409.2,2.747341,3.003708,9.272594,1,True,True,False
141196,141496,142096,96655.25,96557,98.25,121.75,128.436,141496,141796,142096,32230.75,32106,124.75,115.0625,112.3922,141796,142096,142096,-56437.75,-56433,-4.75,-18.0625,-18.27871,0,4.616738,0,False,False,3408.2,2.746535,3.002827,9.269874,1,True,True,False
